epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
56,531.554,0.51549,0.66671,0.36865,0.87233,0.92713,0.61359,0.66713,0.55735,0.89419,0.57342,0.63625,0.45712,0.52013,0.75623,0.37215,0.85117,0.00102312,0.00102312,0.00102312
57,540.899,0.50584,0.64296,0.35929,0.87098,0.92564,0.60994,0.67857,0.56995,0.88532,0.572,0.64743,0.46433,0.51089,0.74538,0.36255,0.84687,0.001019,0.001019,0.001019
58,550.372,0.50232,0.64858,0.36294,0.8727,0.93018,0.61227,0.67911,0.56896,0.88079,0.57447,0.64694,0.45182,0.51741,0.73855,0.37304,0.85423,0.00101488,0.00101488,0.00101488
59,559.707,0.50826,0.64632,0.36407,0.87262,0.93088,0.613,0.67581,0.57039,0.89258,0.57096,0.64635,0.46071,0.50743,0.75919,0.36511,0.85159,0.00101075,0.00101075,0.00101075
60,569.019,0.49296,0.63711,0.35562,0.86988,0.92072,0.61415,0.67516,0.56737,0.86628,0.57841,0.64285,0.45395,0.50553,0.75442,0.36312,0.85257,0.00100663,0.00100663,0.00100663
61,578.371,0.50736,0.64951,0.36106,0.87225,0.94063,0.60631,0.67289,0.56624,0.88725,0.56771,0.63568,0.4568,0.5044,0.74604,0.36876,0.84787,0.0010025,0.0010025,0.0010025
62,587.715,0.50117,0.63563,0.35897,0.86972,0.92169,0.61611,0.67635,0.56654,0.8803,0.58248,0.64383,0.45779,0.50205,0.73594,0.36285,0.84554,0.000998375,0.000998375,0.000998375
63,597.04,0.50443,0.63914,0.35893,0.87224,0.93687,0.60908,0.68523,0.57732,0.88492,0.57706,0.65318,0.46407,0.50712,0.78956,0.36218,0.84648,0.00099425,0.00099425,0.00099425
64,606.503,0.49777,0.6413,0.35234,0.8687,0.93048,0.61207,0.68604,0.5759,0.89442,0.56797,0.64702,0.46254,0.50738,0.78467,0.35499,0.85373,0.000990125,0.000990125,0.000990125
65,615.842,0.49422,0.63042,0.35169,0.86471,0.93218,0.61297,0.68194,0.57317,0.88998,0.57012,0.64775,0.46087,0.50013,0.74189,0.35495,0.84278,0.000986,0.000986,0.000986
66,625.172,0.49831,0.63116,0.35388,0.87009,0.94424,0.61251,0.69432,0.59007,0.90503,0.56717,0.65971,0.47497,0.49315,0.74056,0.34783,0.84328,0.000981875,0.000981875,0.000981875
67,634.64,0.48386,0.60623,0.34805,0.86737,0.93434,0.61546,0.68744,0.57786,0.90064,0.57491,0.65488,0.46998,0.48945,0.73689,0.34822,0.8449,0.00097775,0.00097775,0.00097775
68,644.01,0.49025,0.61819,0.34744,0.86475,0.92662,0.61207,0.68281,0.57474,0.89466,0.57025,0.6486,0.4691,0.50083,0.72213,0.35074,0.84761,0.000973625,0.000973625,0.000973625
69,653.341,0.48439,0.61229,0.34589,0.86463,0.93528,0.60933,0.6875,0.58025,0.90024,0.57397,0.66051,0.47405,0.48908,0.72525,0.34537,0.8431,0.0009695,0.0009695,0.0009695
70,662.741,0.48232,0.60361,0.34196,0.86199,0.93489,0.61936,0.69952,0.59064,0.87258,0.57444,0.6548,0.46867,0.49065,0.71167,0.34335,0.84447,0.000965375,0.000965375,0.000965375
71,672.09,0.4813,0.60041,0.34137,0.86043,0.93484,0.60874,0.68203,0.57719,0.89472,0.5697,0.64708,0.46243,0.4984,0.74253,0.34985,0.84515,0.00096125,0.00096125,0.00096125
72,681.418,0.4774,0.60596,0.34558,0.86414,0.92824,0.60811,0.68208,0.5769,0.87676,0.56592,0.64185,0.46145,0.49513,0.73296,0.35361,0.84608,0.000957125,0.000957125,0.000957125
73,690.726,0.48534,0.61896,0.34234,0.86339,0.92348,0.61495,0.68567,0.57589,0.87223,0.57931,0.65211,0.46633,0.50947,0.74367,0.35365,0.85077,0.000953,0.000953,0.000953
74,700.066,0.487,0.62542,0.34504,0.86717,0.94044,0.60841,0.69408,0.58637,0.88323,0.57272,0.65891,0.47252,0.50728,0.7179,0.34557,0.84704,0.000948875,0.000948875,0.000948875
75,709.416,0.47844,0.60532,0.34422,0.8632,0.93012,0.61275,0.68074,0.57238,0.8772,0.57308,0.64593,0.45578,0.49927,0.73367,0.355,0.84388,0.00094475,0.00094475,0.00094475
76,718.8,0.48224,0.59769,0.34526,0.86557,0.93168,0.61136,0.68208,0.57567,0.87368,0.5776,0.64649,0.46904,0.49261,0.74517,0.33991,0.84424,0.000940625,0.000940625,0.000940625
77,728.188,0.47111,0.59817,0.33545,0.85857,0.92237,0.62066,0.69465,0.58836,0.88093,0.57909,0.66155,0.47864,0.48754,0.72161,0.33975,0.84419,0.0009365,0.0009365,0.0009365
78,737.655,0.47496,0.596,0.33569,0.86002,0.92863,0.6162,0.68852,0.58419,0.87996,0.57562,0.6524,0.46628,0.48194,0.70477,0.34164,0.84269,0.000932375,0.000932375,0.000932375
79,747.019,0.47399,0.59832,0.33712,0.85833,0.9367,0.613,0.69375,0.58752,0.89618,0.58162,0.66828,0.48532,0.49075,0.72093,0.34649,0.84298,0.00092825,0.00092825,0.00092825
80,756.538,0.47366,0.60264,0.3343,0.86039,0.94992,0.60624,0.69244,0.58692,0.87829,0.57906,0.65977,0.48031,0.48923,0.72715,0.35146,0.84357,0.000924125,0.000924125,0.000924125
81,765.854,0.4756,0.58914,0.34016,0.86084,0.93424,0.61103,0.68924,0.58572,0.8882,0.57573,0.65644,0.47773,0.4845,0.74404,0.33817,0.84647,0.00092,0.00092,0.00092
82,775.183,0.47953,0.5952,0.34107,0.86038,0.92616,0.61633,0.69776,0.58954,0.88444,0.57328,0.66318,0.48481,0.4898,0.73942,0.3431,0.84869,0.000915875,0.000915875,0.000915875
83,784.625,0.46809,0.58692,0.33125,0.85874,0.93324,0.61243,0.69055,0.58499,0.89125,0.57654,0.65924,0.47792,0.49215,0.7336,0.3506,0.84453,0.00091175,0.00091175,0.00091175
84,794.01,0.46663,0.57201,0.33026,0.8585,0.92436,0.61852,0.69741,0.59631,0.87002,0.58028,0.66182,0.46906,0.47728,0.71197,0.33725,0.83972,0.000907625,0.000907625,0.000907625
85,803.311,0.46683,0.58864,0.3272,0.8557,0.93426,0.61947,0.70326,0.60146,0.88052,0.57795,0.66622,0.48105,0.46848,0.70634,0.32874,0.8382,0.0009035,0.0009035,0.0009035
86,812.754,0.45922,0.57764,0.32564,0.85803,0.93494,0.61535,0.69418,0.59176,0.88417,0.5765,0.66038,0.47436,0.47547,0.71138,0.33366,0.84335,0.000899375,0.000899375,0.000899375
87,822.096,0.46071,0.5806,0.32769,0.8582,0.92728,0.61993,0.68778,0.58381,0.89065,0.58507,0.66325,0.47842,0.47955,0.70111,0.33369,0.83877,0.00089525,0.00089525,0.00089525
88,831.425,0.45528,0.59372,0.32572,0.85552,0.92713,0.62041,0.6946,0.59014,0.87417,0.58209,0.65705,0.46588,0.47521,0.72331,0.33607,0.84304,0.000891125,0.000891125,0.000891125
89,840.779,0.46783,0.60157,0.33316,0.8548,0.92655,0.61691,0.69084,0.58896,0.87573,0.57275,0.65571,0.47164,0.47647,0.7012,0.34019,0.83977,0.000887,0.000887,0.000887
90,850.11,0.46194,0.58685,0.32638,0.85589,0.93036,0.61578,0.68902,0.58413,0.89737,0.57665,0.6569,0.47156,0.49193,0.74095,0.34531,0.84205,0.000882875,0.000882875,0.000882875
91,859.444,0.46825,0.58143,0.32769,0.85726,0.93492,0.62121,0.69396,0.58742,0.9031,0.57651,0.66052,0.47604,0.48329,0.71966,0.34,0.84422,0.00087875,0.00087875,0.00087875
92,868.784,0.4628,0.58917,0.33147,0.85478,0.93463,0.61703,0.68638,0.58459,0.89722,0.57185,0.64757,0.46032,0.46759,0.69155,0.33386,0.83887,0.000874625,0.000874625,0.000874625
93,878.084,0.45406,0.5722,0.32563,0.85701,0.94401,0.61756,0.68928,0.58327,0.89048,0.57107,0.6481,0.46345,0.47109,0.7029,0.33059,0.842,0.0008705,0.0008705,0.0008705
94,887.417,0.46276,0.58065,0.32591,0.85632,0.93773,0.61818,0.69886,0.59712,0.89369,0.57062,0.65931,0.47056,0.46912,0.72712,0.3317,0.8404,0.000866375,0.000866375,0.000866375
95,896.749,0.45735,0.58842,0.32424,0.85605,0.94114,0.61325,0.69365,0.59466,0.88914,0.57348,0.65702,0.47312,0.47354,0.72298,0.33189,0.84327,0.00086225,0.00086225,0.00086225
96,906.071,0.45035,0.57005,0.31794,0.85029,0.92942,0.61749,0.68866,0.58381,0.88972,0.56886,0.64367,0.4586,0.47144,0.70818,0.33773,0.83961,0.000858125,0.000858125,0.000858125
97,915.405,0.45308,0.57195,0.32093,0.85227,0.93257,0.62369,0.69936,0.59591,0.89077,0.57569,0.66195,0.47949,0.46227,0.69226,0.32497,0.83921,0.000854,0.000854,0.000854
98,924.744,0.44531,0.55105,0.31416,0.85061,0.94007,0.61822,0.70161,0.60203,0.89777,0.58025,0.67077,0.49012,0.46273,0.70629,0.32994,0.83954,0.000849875,0.000849875,0.000849875
